Suositeltu yleiskielinen nimi	Tieteellinen nimi	Uhanalaisuusluokka	Tunniste	Suomenkielinen nimi
vuoristokellosammakko	Bombina variegata	NA (2019)	MX.200974	vuoristokellosammakko
rupikonna	Bufo bufo	LC (2019)	MX.37626	rupikonna
viherkonna	Bufotes viridis	NA (2010)	MX.321452	viherkonna
viitasammakko	Rana arvalis	LC (2019)	MX.37621	viitasammakko
ruskosammakko	Rana temporaria	LC (2019)	MX.37623	ruskosammakko
ruokasammakko	Pelophylax esculentus	NA (2019)	MX.201015	ruokasammakko
pikkuvihersammakko	Pelophylax lessonae	NA (2019)	MX.201018	pikkuvihersammakko
mölysammakko	Pelophylax ridibundus	NA (2019)	MX.37622	mölysammakko
rupilisko	Triturus cristatus	EN (2019)	MX.37628	rupilisko
alppivesilisko	Ichthyosaura alpestris	NA (2019)	MX.200927	alppivesilisko
vesilisko	Lissotriton vulgaris	LC (2019)	MX.37630	vesilisko
kangaskäärme	Coronella austriaca	VU (2019)	MX.37637	kangaskäärme
rantakäärme	Natrix natrix	LC (2019)	MX.37639	rantakäärme
kyy	Vipera berus	LC (2019)	MX.37641	kyy
vaskitsa	Anguis colchica	LC (2019)	MX.37632	vaskitsa
hietasisilisko	Lacerta agilis	NA (2019)	MX.201133	hietasisilisko
sisilisko	Zootoca vivipara	LC (2019)	MX.37635	sisilisko
kyhmyjoutsen	Cygnus olor	LC (2019)	MX.26277	kyhmyjoutsen
pikkujoutsen	Cygnus columbianus		MX.26282	pikkujoutsen
pikkujoutsen (alalaji bewickii)	Cygnus columbianus bewickii		MX.4971341	pikkujoutsen (alalaji bewickii)
laulujoutsen	Cygnus cygnus	LC (2019)	MX.26280	laulujoutsen
metsähanhiryhmä	Anser fabalis sensu lato	VU (2015)	MX.26287	metsähanhiryhmä
taigametsähanhi	Anser fabalis	VU (2019)	MX.292022	taigametsähanhi
tundrametsähanhi	Anser serrirostris	EN (2019)	MX.292023	tundrametsähanhi
lyhytnokkahanhi	Anser brachyrhynchus		MX.26288	lyhytnokkahanhi
tundrahanhi	Anser albifrons		MX.26289	tundrahanhi
tundrahanhi (alalaji flavirostris)	Anser albifrons flavirostris		MX.4971335	tundrahanhi (alalaji flavirostris)
tundrahanhi (alalaji albifrons)	Anser albifrons albifrons		MX.4971374	tundrahanhi (alalaji albifrons)
kiljuhanhi	Anser erythropus	CR (2019)	MX.26290	kiljuhanhi
merihanhi	Anser anser	LC (2019)	MX.26291	merihanhi
tiibetinhanhi	Anser indicus		MX.26292	tiibetinhanhi
eskimohanhi	Anser rossii		MX.26294	eskimohanhi
kiljuhanhiristeymä	Anser erythropus hybrid		MX.317167	kiljuhanhiristeymä
tundrahanhi × merihanhi	Anser albifrons × anser		MX.5083994	tundrahanhi × merihanhi
tundrahanhi × kiljuhanhi	Anser albifrons × erythropus		MX.5083995	tundrahanhi × kiljuhanhi
metsähanhi × tundrahanhi	Anser fabalis × albifrons		MX.5084003	metsähanhi × tundrahanhi
kanadanhanhi	Branta canadensis	NA (2019)	MX.26298	kanadanhanhi
pikkukanadanhanhi	Branta hutchinsii		MX.232253	pikkukanadanhanhi
pikkukanadanhanhi (alalaji hutchinsii)	Branta hutchinsii hutchinsii		MX.5084053	pikkukanadanhanhi (alalaji hutchinsii)
pikkukanadanhanhi (alalaji minima)	Branta hutchinsii minima		MX.5084054	pikkukanadanhanhi (alalaji minima)
valkoposkihanhi	Branta leucopsis	LC (2019)	MX.26299	valkoposkihanhi
sepelhanhi	Branta bernicla		MX.26300	sepelhanhi
sepelhanhi (alalaji bernicla)	Branta bernicla bernicla		MX.292027	sepelhanhi (alalaji bernicla)
sepelhanhi (alalaji hrota)	Branta bernicla hrota		MX.292028	sepelhanhi (alalaji hrota)
sepelhanhi (alalaji nigricans)	Branta bernicla nigricans		MX.5084050	sepelhanhi (alalaji nigricans)
punakaulahanhi	Branta ruficollis		MX.26301	punakaulahanhi
kanadanhanhi × valkoposkihanhi	Branta canadensis × leucopsis		MX.292026	kanadanhanhi × valkoposkihanhi
valkoposkihanhi × punakaulahanhi	Branta leucopsis × ruficollis		MX.5084055	valkoposkihanhi × punakaulahanhi
merihanhi × kanadanhanhi	Anser anser × Branta canadensis		MX.5083996	merihanhi × kanadanhanhi
merihanhi × valkoposkihanhi	Anser anser × Branta leucopsis		MX.5083997	merihanhi × valkoposkihanhi
lumihanhi × valkoposkihanhi	Anser caerulescens × Branta leucopsis		MX.5083998	lumihanhi × valkoposkihanhi
kiljuhanhi × valkoposkihanhi	Anser erythropus × Branta leucopsis		MX.5083999	kiljuhanhi × valkoposkihanhi
tiibetinhanhi × valkoposkihanhi	Anser indicus × Branta leucopsis		MX.5084000	tiibetinhanhi × valkoposkihanhi
hanhiristeymä	hybrida Anserini		MX.5084204	hanhiristeymä
ruostesorsa	Tadorna ferruginea		MX.26319	ruostesorsa
ristisorsa	Tadorna tadorna	VU (2019)	MX.26323	ristisorsa
mandariinisorsa	Aix galericulata		MX.26348	mandariinisorsa
heinätavi	Spatula querquedula	VU (2019)	MX.26388	heinätavi
sinisiipitavi	Spatula discors		MX.26389	sinisiipitavi
lapasorsa	Spatula clypeata	LC (2019)	MX.26394	lapasorsa
lapasorsa × punatavi	Spatula clypeata × cyanoptera		MX.5083981	lapasorsa × punatavi
sinisiipitavi × lapasorsa	Spatula discors × clypeata		MX.5086945	sinisiipitavi × lapasorsa
siperiantavi	Sibirionetta formosa		MX.26365	siperiantavi
harmaasorsa	Mareca strepera	LC (2019)	MX.26364	harmaasorsa
haapana	Mareca penelope	VU (2019)	MX.26360	haapana
amerikanhaapana	Mareca americana		MX.26361	amerikanhaapana
haapana × amerikanhaapana	Mareca penelope × americana		MX.5083984	haapana × amerikanhaapana
haapana × harmaasorsa	Mareca penelope × strepera		MX.5083987	haapana × harmaasorsa
sinisorsa	Anas platyrhynchos	LC (2019)	MX.26373	sinisorsa
nokisorsa	Anas rubripes		MX.26374	nokisorsa
jouhisorsa	Anas acuta	VU (2019)	MX.26382	jouhisorsa
tavi	Anas crecca	LC (2019)	MX.26366	tavi
amerikantavi	Anas crecca carolinensis	LC (2019)	MX.73540	amerikantavi
sinisorsa × tavi	Anas platyrhynchos × crecca		MX.292024	sinisorsa × tavi
tavi × amerikantavi	Anas crecca crecca × Anas crecca carolinensis		MX.5083983	tavi × amerikantavi
sinisorsa × jouhisorsa	Anas platyrhynchos × acuta		MX.5083988	sinisorsa × jouhisorsa
harmaasorsa × sinisorsa	Anas strepera × platyrhynchos		MX.5083990	harmaasorsa × sinisorsa
haapana × jouhisorsa	Mareca penelope × Anas acuta		MX.5083985	haapana × jouhisorsa
haapana × sinisorsa	Mareca penelope × Anas platyrhynchos		MX.5083986	haapana × sinisorsa
sinisorsa × lapasorsa	Anas platyrhynchos × Spatula clypeata		MX.5083989	sinisorsa × lapasorsa
sorsaristeymä	hybrida Anatini		MX.5084205	sorsaristeymä
punapäänarsku	Netta rufina		MX.26402	punapäänarsku
punasotka	Aythya ferina	CR (2019)	MX.26407	punasotka
amerikantukkasotka	Aythya collaris		MX.26409	amerikantukkasotka
ruskosotka	Aythya nyroca		MX.26412	ruskosotka
tukkasotka	Aythya fuligula	EN (2019)	MX.26415	tukkasotka
lapasotka	Aythya marila	EN (2019)	MX.26416	lapasotka
pikkulapasotka	Aythya affinis		MX.26417	pikkulapasotka
amerikantukkasotka × tukkasotka	Aythya collaris × fuligula		MX.5084047	amerikantukkasotka × tukkasotka
punasotka × tukkasotka	Aythya ferina × fuligula		MX.5084048	punasotka × tukkasotka
tukkasotka × lapasotka	Aythya fuligula × marila		MX.5084049	tukkasotka × lapasotka
sotkaristeymä	hybrida Aythya		MX.5084206	sotkaristeymä
haahka	Somateria mollissima	EN (2019)	MX.26419	haahka
kyhmyhaahka	Somateria spectabilis		MX.26420	kyhmyhaahka
haahka × kyhmyhaahka	Somateria mollissima × Somateria spectabilis		MX.5084186	haahka × kyhmyhaahka
allihaahka	Polysticta stelleri		MX.26423	allihaahka
virta-alli	Histrionicus histrionicus		MX.26425	virta-alli
alli	Clangula hyemalis	NT (2019)	MX.26427	alli
mustalintu	Melanitta nigra	LC (2019)	MX.26429	mustalintu
mustalintu (alalaji nigra)	Melanitta nigra nigra	LC (2019)	MX.5084133	mustalintu (alalaji nigra)
amerikanmustalintu	Melanitta americana		MX.73587	amerikanmustalintu
pilkkaniska	Melanitta perspicillata		MX.26430	pilkkaniska
pilkkasiipi	Melanitta fusca	VU (2019)	MX.26431	pilkkasiipi
pilkkasiipi (alalaji fusca)	Melanitta fusca fusca	VU (2019)	MX.5084131	pilkkasiipi (alalaji fusca)
kyhmypilkkasiipi	Melanitta deglandi sensu lato		MX.73588	kyhmypilkkasiipi
amerikanpilkkasiipi	Melanitta deglandi		MX.5080627	amerikanpilkkasiipi
siperianpilkkasiipi	Melanitta stejnegeri		MX.5080628	siperianpilkkasiipi
pilkkasiipi × amerikanpilkkasiipi/siperianpilkkasiipi	Melanitta fusca × Melanitta deglandi / Melanitta stejnegeri		MX.5084132	pilkkasiipi × amerikanpilkkasiipi/siperianpilkkasiipi
telkkä	Bucephala clangula	LC (2019)	MX.26435	telkkä
pikkutelkkä × telkkä	Bucephala albeola × clangula		MX.5084063	pikkutelkkä × telkkä
uivelo	Mergellus albellus	LC (2019)	MX.26438	uivelo
tukkakoskelo	Mergus serrator	NT (2019)	MX.26440	tukkakoskelo
isokoskelo	Mergus merganser	NT (2019)	MX.26442	isokoskelo
telkkä × uivelo	Bucephala clangula × Mergellus albellus		MX.5084064	telkkä × uivelo
haahka × isokoskelo	Somateria mollissima × Mergus merganser		MX.5084185	haahka × isokoskelo
kuparisorsa	Oxyura jamaicensis		MX.26447	kuparisorsa
vesilinturisteymä	hybrida Anatidae		MX.5084209	vesilinturisteymä
viiriäinen	Coturnix coturnix	EN (2019)	MX.27058	viiriäinen
pyy	Tetrastes bonasia	VU (2019)	MX.26931	pyy
riekko	Lagopus lagopus	VU (2019)	MX.26921	riekko
Willow Ptarmigan (nominate)	Lagopus lagopus lagopus	VU (2019)	MX.4971373	
kiiruna	Lagopus muta	LC (2019)	MX.26922	kiiruna
teeri	Lyrurus tetrix	LC (2019)	MX.26926	teeri
Black Grouse (nominate)	Lyrurus tetrix tetrix	LC (2019)	MX.4971366	
metso	Tetrao urogallus	LC (2019)	MX.26928	metso
korpimetso	Lyrurus tetrix × Tetrao urogallus		MX.292080	korpimetso
riekko × teeri	Lagopus lagopus × Lyrurus tetrix		MX.5084102	riekko × teeri
riekko × metso	Lagopus lagopus × Tetrao urogallus		MX.5084103	riekko × metso
pyy × riekko	Tetrastes bonasia × Lagopus lagopus		MX.5084199	pyy × riekko
peltopyy	Perdix perdix	NT (2019)	MX.27048	peltopyy
fasaani	Phasianus colchicus	NA (2019)	MX.27152	fasaani
kaakkuri	Gavia stellata	LC (2019)	MX.25836	kaakkuri
kuikka	Gavia arctica	LC (2019)	MX.25837	kuikka
tundrakuikka	Gavia pacifica		MX.25838	tundrakuikka
amerikanjääkuikka	Gavia immer		MX.25839	amerikanjääkuikka
jääkuikka	Gavia adamsii		MX.25840	jääkuikka
pikku-uikku	Tachybaptus ruficollis	CR (2019)	MX.25844	pikku-uikku
silkkiuikku	Podiceps cristatus	NT (2019)	MX.25860	silkkiuikku
härkälintu	Podiceps grisegena	NT (2019)	MX.25859	härkälintu
mustakurkku-uikku	Podiceps auritus	EN (2019)	MX.25861	mustakurkku-uikku
mustakaulauikku	Podiceps nigricollis		MX.25862	mustakaulauikku
myrskylintu	Fulmarus glacialis		MX.25892	myrskylintu
nokiliitäjä	Ardenna grisea		MX.25963	nokiliitäjä
isoliitäjä	Ardenna gravis		MX.25960	isoliitäjä
pikkuliitäjä	Puffinus puffinus		MX.25967	pikkuliitäjä
merikeiju	Hydrobates pelagicus		MX.25988	merikeiju
madeirankeiju sensu lato	Hydrobates castro sensu lato		MX.25993	madeirankeiju sensu lato
myrskykeiju	Hydrobates leucorhous		MX.25994	myrskykeiju
suula	Morus bassanus		MX.26027	suula
ruskosuula sensu lato	Sula leucogaster sensu lato		MX.26037	ruskosuula sensu lato
pikkumerimetso	Microcarbo pygmaeus		MX.26071	pikkumerimetso
merimetso	Phalacrocorax carbo	LC (2019)	MX.26043	merimetso
merimetso (alalaji carbo)	Phalacrocorax carbo carbo	LC (2019)	MX.5084147	merimetso (alalaji carbo)
merimetso (alalaji sinensis)	Phalacrocorax carbo sinensis	LC (2019)	MX.5084148	merimetso (alalaji sinensis)
karimetso	Gulosus aristotelis		MX.26051	karimetso
pelikaani	Pelecanus onocrotalus		MX.26017	pelikaani
kiharapelikaani	Pelecanus crispus		MX.26021	kiharapelikaani
kaulushaikara	Botaurus stellaris	LC (2019)	MX.26164	kaulushaikara
pikkuhaikara	Botaurus minutus		MX.26155	pikkuhaikara
yöhaikara	Nycticorax nycticorax		MX.26133	yöhaikara
rääkkähaikara	Ardeola ralloides		MX.26121	rääkkähaikara
silkkihaikara	Egretta garzetta		MX.26115	silkkihaikara
jalohaikara	Ardea alba		MX.26105	jalohaikara
lehmähaikara	Ardea ibis		MX.26119	lehmähaikara
ruskohaikara	Ardea purpurea		MX.26103	ruskohaikara
harmaahaikara	Ardea cinerea	LC (2019)	MX.26094	harmaahaikara
mustahaikara	Ciconia nigra		MX.26182	mustahaikara
kattohaikara	Ciconia ciconia		MX.26187	kattohaikara
pronssi-iibis	Plegadis falcinellus		MX.26234	pronssi-iibis
kapustahaikara	Platalea leucorodia		MX.26240	kapustahaikara
mehiläishaukka	Pernis apivorus	EN (2019)	MX.26488	mehiläishaukka
idänmehiläishaukka	Pernis ptilorhynchus		MX.26489	idänmehiläishaukka
haarahaukka	Milvus migrans	CR (2019)	MX.26518	haarahaukka
isohaarahaukka	Milvus milvus		MX.26519	isohaarahaukka
haarahaukka × isohaarahaukka	Milvus migrans × milvus		MX.5084134	haarahaukka × isohaarahaukka
aromerikotka	Haliaeetus leucoryphus		MX.26528	aromerikotka
merikotka	Haliaeetus albicilla	LC (2019)	MX.26530	merikotka
pikkukorppikotka	Neophron percnopterus		MX.26551	pikkukorppikotka
hanhikorppikotka	Gyps fulvus		MX.26543	hanhikorppikotka
munkkikorppikotka	Aegypius monachus		MX.26536	munkkikorppikotka
käärmekotka	Circaetus gallicus		MX.26557	käärmekotka
ruskosuohaukka	Circus aeruginosus	LC (2019)	MX.26597	ruskosuohaukka
sinisuohaukka × arosuohaukka	Circus cyaneus × macrourus		MX.292037	sinisuohaukka × arosuohaukka
arosuohaukka × niittysuohaukka	Circus macrourus × pygargus		MX.292039	arosuohaukka × niittysuohaukka
sinisuohaukka	Circus cyaneus	VU (2019)	MX.26592	sinisuohaukka
arosuohaukka	Circus macrourus	EN (2019)	MX.26594	arosuohaukka
niittysuohaukka	Circus pygargus	CR (2019)	MX.26596	niittysuohaukka
varpushaukka	Accipiter nisus	LC (2019)	MX.26639	varpushaukka
hiirihaukka	Buteo buteo	VU (2019)	MX.26701	hiirihaukka
lännenhiirihaukka	Buteo buteo buteo	VU (2019)	MX.292029	lännenhiirihaukka
idänhiirihaukka	Buteo buteo vulpinus	VU (2019)	MX.292030	idänhiirihaukka
arohiirihaukka	Buteo rufinus		MX.26705	arohiirihaukka
piekana	Buteo lagopus	EN (2019)	MX.26704	piekana
pikkukiljukotka	Clanga pomarina		MX.26722	pikkukiljukotka
kiljukotka	Clanga clanga	CR (2019)	MX.26723	kiljukotka
kiljukotka × pikkukiljukotka	Clanga clanga × pomarina		MX.5084041	kiljukotka × pikkukiljukotka
pikkukotka	Hieraaetus pennatus		MX.26734	pikkukotka
arokotka	Aquila nipalensis		MX.73542	arokotka
keisarikotka	Aquila heliaca		MX.26725	keisarikotka
maakotka	Aquila chrysaetos	VU (2019)	MX.26727	maakotka
kanahaukka	Astur gentilis	NT (2019)	MX.26647	kanahaukka
kanahaukka (alalaji buteoides)	Astur gentilis buteoides	NT (2019)	MX.5083976	kanahaukka (alalaji buteoides)
kanahaukka (alalaji gentilis)	Astur gentilis gentilis	NT (2019)	MX.5083977	kanahaukka (alalaji gentilis)
sääksi	Pandion haliaetus	LC (2019)	MX.26472	sääksi
pikkutuulihaukka	Falco naumanni		MX.26792	pikkutuulihaukka
tuulihaukka	Falco tinnunculus	LC (2019)	MX.26796	tuulihaukka
punajalkahaukka	Falco vespertinus	NA (2019)	MX.26805	punajalkahaukka
ampuhaukka	Falco columbarius	LC (2019)	MX.26808	ampuhaukka
nuolihaukka	Falco subbuteo	LC (2019)	MX.26811	nuolihaukka
välimerenhaukka	Falco eleonorae		MX.26815	välimerenhaukka
aavikkohaukka	Falco cherrug		MX.26824	aavikkohaukka
tunturihaukka	Falco rusticolus	CR (2019)	MX.26825	tunturihaukka
muuttohaukka	Falco peregrinus	VU (2019)	MX.26828	muuttohaukka
muuttohaukka (alalaji peregrinus)	Falco peregrinus peregrinus	VU (2019)	MX.5084087	muuttohaukka (alalaji peregrinus)
luhtakana	Rallus aquaticus	LC (2019)	MX.27276	luhtakana
luhtahuitti	Porzana porzana	LC (2019)	MX.27345	luhtahuitti
pikkuhuitti	Zapornia parva	EN (2019)	MX.27342	pikkuhuitti
kääpiöhuitti	Zapornia pusilla		MX.27343	kääpiöhuitti
ruisrääkkä	Crex crex	LC (2019)	MX.27328	ruisrääkkä
liejukana	Gallinula chloropus	VU (2019)	MX.27364	liejukana
kurnuliejukana	Porphyrio alleni		MX.27368	kurnuliejukana
nokikana	Fulica atra	EN (2019)	MX.27381	nokikana
hietakurki	Antigone canadensis		MX.27217	hietakurki
neitokurki	Grus virgo		MX.27227	neitokurki
kurki	Grus grus	LC (2019)	MX.27214	kurki
pikkutrappi	Tetrax tetrax		MX.27403	pikkutrappi
idänkaulustrappi	Chlamydotis macqueenii		MX.73562	idänkaulustrappi
isotrappi	Otis tarda		MX.27418	isotrappi
paksujalka	Burhinus oedicnemus		MX.27492	paksujalka
pitkäjalka	Himantopus himantopus		MX.27475	pitkäjalka
avosetti	Recurvirostra avosetta		MX.27486	avosetti
meriharakka	Haematopus ostralegus	LC (2019)	MX.27459	meriharakka
siperiankurmitsa	Pluvialis fulva		MX.27555	siperiankurmitsa
amerikankurmitsa	Pluvialis dominica		MX.27554	amerikankurmitsa
kapustarinta	Pluvialis apricaria	LC (2019)	MX.27553	kapustarinta
tundrakurmitsa	Pluvialis squatarola		MX.27556	tundrakurmitsa
arohyyppä	Vanellus gregarius		MX.27540	arohyyppä
suohyyppä	Vanellus leucurus		MX.27541	suohyyppä
töyhtöhyyppä	Vanellus vanellus	LC (2019)	MX.27527	töyhtöhyyppä
kaspiantylli	Anarhynchus asiaticus		MX.27582	kaspiantylli
gobintylli	Anarhynchus veredus		MX.27583	gobintylli
Lesser Sand Plover	Anarhynchus mongolus sensu lato		MX.27580	
ylänkötylli	Anarhynchus atrifons		MX.5126825	ylänkötylli
aavikkotylli	Anarhynchus leschenaultii		MX.27581	aavikkotylli
mustajalkatylli	Anarhynchus alexandrinus		MX.27570	mustajalkatylli
tylli	Charadrius hiaticula	LC (2019)	MX.27559	tylli
keräkurmitsa	Eudromias morinellus	VU (2019)	MX.27597	keräkurmitsa
pikkutylli	Thinornis dubius	NT (2019)	MX.27562	pikkutylli
preeriakahlaaja	Bartramia longicauda		MX.27617	preeriakahlaaja
taigakuovi	Numenius minutus		MX.27608	taigakuovi
pikkukuovi	Numenius phaeopus	LC (2019)	MX.27610	pikkukuovi
kuovi	Numenius arquata	NT (2019)	MX.27613	kuovi
mustapyrstökuiri	Limosa limosa	VU (2019)	MX.27603	mustapyrstökuiri
mustapyrstökuiri (alalaji islandica)	Limosa limosa islandica	VU (2019)	MX.5084124	mustapyrstökuiri (alalaji islandica)
punakuiri	Limosa lapponica	NT (2019)	MX.27605	punakuiri
karikukko	Arenaria interpres	EN (2019)	MX.27642	karikukko
isosirri	Calidris canutus		MX.27682	isosirri
suokukko	Calidris pugnax	CR (2019)	MX.27710	suokukko
suippopyrstösirri	Calidris acuminata		MX.27695	suippopyrstösirri
jänkäsirriäinen	Calidris falcinellus	NT (2019)	MX.27704	jänkäsirriäinen
kuovisirri	Calidris ferruginea		MX.27700	kuovisirri
pitkäkoipisirri	Calidris himantopus		MX.27706	pitkäkoipisirri
rusokaulasirri	Calidris ruficollis		MX.27687	rusokaulasirri
siperiansirri	Calidris subminuta		MX.27690	siperiansirri
lapinsirri	Calidris temminckii	EN (2019)	MX.27689	lapinsirri
pulmussirri	Calidris alba		MX.27684	pulmussirri
suosirri	Calidris alpina		MX.27699	suosirri
etelänsuosirri	Calidris alpina schinzii	EN (2019)	MX.206761	etelänsuosirri
suosirri (alalaji alpina)	Calidris alpina alpina	NT (2019)	MX.206762	suosirri (alalaji alpina)
merisirri	Calidris maritima	EN (2019)	MX.27697	merisirri
eskimosirri	Calidris bairdii		MX.27693	eskimosirri
pikkusirri	Calidris minuta	CR (2019)	MX.27688	pikkusirri
valkoperäsirri	Calidris fuscicollis		MX.27692	valkoperäsirri
amerikansirri	Calidris minutilla		MX.27691	amerikansirri
tundravikla	Calidris subruficollis		MX.27708	tundravikla
palsasirri	Calidris melanotos		MX.27694	palsasirri
amerikanvesipääsky	Phalaropus tricolor		MX.27645	amerikanvesipääsky
vesipääsky	Phalaropus lobatus	VU (2019)	MX.27646	vesipääsky
isovesipääsky	Phalaropus fulicarius		MX.27647	isovesipääsky
rantakurvi	Xenus cinereus	CR (2019)	MX.27632	rantakurvi
rantasipi	Actitis hypoleucos	LC (2019)	MX.27634	rantasipi
amerikansipi	Actitis macularius		MX.27635	amerikansipi
metsäviklo	Tringa ochropus	LC (2019)	MX.27626	metsäviklo
mustaviklo	Tringa erythropus	NT (2019)	MX.27619	mustaviklo
valkoviklo	Tringa nebularia	NT (2019)	MX.27622	valkoviklo
keltajalkaviklo	Tringa flavipes		MX.27625	keltajalkaviklo
preeriaviklo	Tringa semipalmata		MX.27630	preeriaviklo
lampiviklo	Tringa stagnatilis	EN (2019)	MX.27621	lampiviklo
liro	Tringa glareola	NT (2019)	MX.27628	liro
punajalkaviklo	Tringa totanus	NT (2019)	MX.27620	punajalkaviklo
jänkäkurppa	Lymnocryptes minimus	LC (2019)	MX.27674	jänkäkurppa
tundrakurppelo	Limnodromus scolopaceus		MX.27677	tundrakurppelo
lehtokurppa	Scolopax rusticola	LC (2019)	MX.27649	lehtokurppa
taivaanvuohi	Gallinago gallinago	NT (2019)	MX.27666	taivaanvuohi
amerikantaivaanvuohi	Gallinago delicata		MX.73576	amerikantaivaanvuohi
heinäkurppa	Gallinago media	CR (2019)	MX.27665	heinäkurppa
siperiankurppa	Gallinago megala		MX.27662	siperiankurppa
heinäkurppa × taivaanvuohi	Gallinago media × gallinago		MX.292046	heinäkurppa × taivaanvuohi
pääskykahlaaja	Glareola pratincola		MX.27518	pääskykahlaaja
aasianpääskykahlaaja	Glareola maldivarum		MX.27519	aasianpääskykahlaaja
aropääskykahlaaja	Glareola nordmanni		MX.27520	aropääskykahlaaja
aavikkojuoksija	Cursorius cursor		MX.27506	aavikkojuoksija
leveäpyrstökihu	Stercorarius pomarinus		MX.27729	leveäpyrstökihu
merikihu	Stercorarius parasiticus	LC (2019)	MX.27730	merikihu
tunturikihu	Stercorarius longicaudus	NT (2019)	MX.27731	tunturikihu
isokihu	Stercorarius skua		MX.27724	isokihu
lunni	Fratercula arctica		MX.27877	lunni
riskilä	Cepphus grylle	VU (2019)	MX.27855	riskilä
riskilä (alalaji mandtii)	Cepphus grylle mandtii	VU (2019)	MX.5110896	riskilä (alalaji mandtii)
riskilä (alalaji grylle)	Cepphus grylle grylle	VU (2019)	MX.5110897	riskilä (alalaji grylle)
mustakurkkumurri	Synthliboramphus antiquus		MX.27864	mustakurkkumurri
ruokki	Alca torda	LC (2019)	MX.27850	ruokki
pikkuruokki	Alle alle		MX.27848	pikkuruokki
etelänkiisla	Uria aalge	EN (2019)	MX.27853	etelänkiisla
pohjankiisla	Uria lomvia		MX.27852	pohjankiisla
pikkutiira	Sternula albifrons	EN (2019)	MX.27821	pikkutiira
hietatiira	Gelochelidon nilotica		MX.27795	hietatiira
räyskä	Hydroprogne caspia	LC (2019)	MX.27797	räyskä
valkoposkitiira	Chlidonias hybrida		MX.27789	valkoposkitiira
mustatiira	Chlidonias niger	CR (2019)	MX.27791	mustatiira
valkosiipitiira	Chlidonias leucopterus		MX.27790	valkosiipitiira
lapintiira	Sterna paradisaea	LC (2019)	MX.27802	lapintiira
kalatiira	Sterna hirundo	LC (2019)	MX.27801	kalatiira
riuttatiira	Thalasseus sandvicensis		MX.27830	riuttatiira
pikkulokki	Hydrocoloeus minutus	LC (2019)	MX.27777	pikkulokki
ruusulokki	Rhodostethia rosea		MX.27780	ruusulokki
jäälokki	Pagophila eburnea		MX.27737	jäälokki
tiiralokki	Xema sabini		MX.27787	tiiralokki
pikkukajava	Rissa tridactyla		MX.27782	pikkukajava
kaitanokkalokki	Chroicocephalus genei		MX.27775	kaitanokkalokki
naurulokki	Chroicocephalus ridibundus	VU (2019)	MX.27774	naurulokki
nokisiipilokki	Leucophaeus atricilla		MX.27764	nokisiipilokki
preerianaurulokki	Leucophaeus pipixcan		MX.27768	preerianaurulokki
välimerenlokki	Ichthyaetus audouinii		MX.27746	välimerenlokki
mustanmerenlokki	Ichthyaetus melanocephalus		MX.27770	mustanmerenlokki
kalalokki	Larus canus	LC (2019)	MX.27748	kalalokki
kalalokki (alalaji canus)	Larus canus canus	LC (2019)	MX.73586	kalalokki (alalaji canus)
kalalokki (alalaji heinei)	Larus canus heinei	LC (2019)	MX.5086949	kalalokki (alalaji heinei)
aroharmaalokki	Larus cachinnans		MX.73583	aroharmaalokki
harmaalokki	Larus argentatus	VU (2019)	MX.27750	harmaalokki
European Herring Gull (Scandinavian)	Larus argentatus argentatus	VU (2019)	MX.73585	
etelänharmaalokki	Larus michahellis		MX.73584	etelänharmaalokki
merilokki	Larus marinus	VU (2019)	MX.27759	merilokki
isolokki	Larus hyperboreus		MX.27761	isolokki
selkälokki	Larus fuscus	EN (2019)	MX.27753	selkälokki
selkälokki (alalaji fuscus)	Larus fuscus fuscus	EN (2019)	MX.292052	selkälokki (alalaji fuscus)
selkälokki (alalaji heuglini)	Larus fuscus heuglini	EN (2019)	MX.292051	selkälokki (alalaji heuglini)
selkälokki (alalaji graellsii)	Larus fuscus graellsii	EN (2019)	MX.292053	selkälokki (alalaji graellsii)
selkälokki (alalaji intermedius)	Larus fuscus intermedius	EN (2019)	MX.5084117	selkälokki (alalaji intermedius)
ohotanlokki	Larus schistisagus		MX.27758	ohotanlokki
grönlanninlokki	Larus glaucoides		MX.27762	grönlanninlokki
grönlanninlokki (alalaji glaucoides)	Larus glaucoides glaucoides		MX.5084120	grönlanninlokki (alalaji glaucoides)
grönlanninlokki (alalaji kumlieni)	Larus glaucoides kumlieni		MX.5084121	grönlanninlokki (alalaji kumlieni)
harmaalokki × isolokki	Larus argentatus × hyperboreus		MX.292057	harmaalokki × isolokki
selkälokki × harmaalokki	Larus fuscus × argentatus		MX.5084118	selkälokki × harmaalokki
harmaalokki × grönlanninlokki	Larus argentatus × glaucoides		MX.5086947	harmaalokki × grönlanninlokki
harmaalokki × merilokki	Larus argentatus × marinus		MX.5086948	harmaalokki × merilokki
naurulokki × mustanmerenlokki	Chroicocephalus ridibundus × Ichthyaetus melanocephalus		MX.5084122	naurulokki × mustanmerenlokki
kahlaajaristeymä	XK (kahlaajaristeymä)		MX.5084238	kahlaajaristeymä
arokyyhky	Syrrhaptes paradoxus		MX.27885	arokyyhky
kalliokyyhky	Columba livia		MX.27903	kalliokyyhky
kesykyyhky	Columba livia domestica	LC (2019)	MX.200535	kesykyyhky
uuttukyyhky	Columba oenas	LC (2019)	MX.27908	uuttukyyhky
