Suositeltu yleiskielinen nimi	Tieteellinen nimi	Uhanalaisuusluokka	Tunniste	Suomenkielinen nimi
ruskosylkikuoriainen	Rhagonycha nigriventris	LC (2019)	MX.192481	ruskosylkikuoriainen
hakasylkikuoriainen	Rhagonycha lignosa	LC (2019)	MX.192483	hakasylkikuoriainen
soukkasylkikuoriainen	Rhagonycha elongata	LC (2019)	MX.192484	soukkasylkikuoriainen
mustasylkikuoriainen	Rhagonycha atra	LC (2019)	MX.192485	mustasylkikuoriainen
idänsylkikuoriainen	Rhagonycha fugax	NT (2019)	MX.192486	idänsylkikuoriainen
lehtosylkikuoriainen	Podistra rufotestacea	LC (2019)	MX.192490	lehtosylkikuoriainen
metsäsylkikuoriainen	Podistra schoenherri	LC (2019)	MX.192491	metsäsylkikuoriainen
hammassylkikuoriainen	Silis ruficollis	LC (2019)	MX.192496	hammassylkikuoriainen
	Malthinus biguttatus	LC (2019)	MX.192502	
	Malthinus flaveolus	LC (2019)	MX.192504	
	Malthinus frontalis	LC (2019)	MX.192509	
	Malthodes flavoguttatus	LC (2019)	MX.192512	
	Malthodes fibulatus	LC (2019)	MX.192515	
	Malthodes misellus	LC (2019)	MX.192517	
	Malthodes fuscus	LC (2019)	MX.192518	
	Malthodes minimus	LC (2019)	MX.192519	
	Malthodes guttifer	LC (2019)	MX.192520	
	Malthodes marginatus	LC (2019)	MX.192521	
	Malthodes mysticus	LC (2019)	MX.192522	
	Malthodes pumilus	LC (2019)	MX.192523	
	Malthodes spathifer	LC (2019)	MX.192524	
	Malthodes crassicornis	LC (2019)	MX.192525	
	Malthodes brevicollis	LC (2019)	MX.192527	
vuotakuoriainen	Dermestes maculatus	NA (2019)	MX.192540	vuotakuoriainen
kapakuoriainen	Dermestes frischii	NA (2019)	MX.192542	kapakuoriainen
hiiroihrakuoriainen	Dermestes murinus	LC (2019)	MX.192543	hiiroihrakuoriainen
hietaihrakuoriainen	Dermestes laniarius	VU (2019)	MX.192544	hietaihrakuoriainen
leväihrakuoriainen	Dermestes gyllenhalii	LC (2019)	MX.192547	leväihrakuoriainen
rantaihrakuoriainen	Dermestes szekessyi	LC (2019)	MX.192548	rantaihrakuoriainen
nilikuoriainen	Dermestes ater	RE (2019)	MX.192551	nilikuoriainen
Black Larder Beetle	Dermestes haemorrhoidalis	NA (2019)	MX.192553	
perunihrakuoriainen	Dermestes peruvianus	NA (2019)	MX.192554	perunihrakuoriainen
vyöihrakuoriainen	Dermestes lardarius	LC (2019)	MX.192556	vyöihrakuoriainen
saloihrakuoriainen	Dermestes palmi	LC (2019)	MX.192557	saloihrakuoriainen
outokuoriainen	Thylodrias contractus	NA (2019)	MX.192568	outokuoriainen
pikiturkiskuoriainen	Attagenus schaefferi	LC (2019)	MX.192571	pikiturkiskuoriainen
mustaturkiskuoriainen	Attagenus unicolor	NA (2019)	MX.192572	mustaturkiskuoriainen
ruskoturkiskuoriainen	Attagenus smirnovi	NA (2019)	MX.192576	ruskoturkiskuoriainen
pilkkuturkiskuoriainen	Attagenus pellio	LC (2019)	MX.192577	pilkkuturkiskuoriainen
