Tunniste	Laji	Luokka 2019	Eliöryhmä
MX.231366	Dilta hibernica – kivikkosiimahäntä	LC – Elinvoimaiset	Kolmisukahäntäiset, Thysanura
MX.231369	Petrobius brevistylis – rantasiimahäntä	DD – Puutteellisesti tunnetut	Kolmisukahäntäiset, Thysanura
MX.231375	Lepisma saccharina – sokeritoukka	LC – Elinvoimaiset	Kolmisukahäntäiset, Thysanura
MX.231378	Thermobia domestica – uunitoukka	NA – Arviointiin soveltumattomat	Kolmisukahäntäiset, Thysanura
MX.231381	Ctenolepisma lineata	NA – Arviointiin soveltumattomat	Kolmisukahäntäiset, Thysanura
MX.5	Calopteryx splendens – immenkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.6	Calopteryx virgo – neidonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.9	Lestes dryas – isokeijukorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.10	Lestes sponsa – sirokeijukorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.63185	Lestes virens – hentokeijukorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.63187	Sympecma paedisca – idänkirsikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.13	Coenagrion armatum – vihertytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.14	Coenagrion hastulatum – keihästytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.15	Coenagrion johanssoni – taigatytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.16	Coenagrion lunulatum – kuutytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.17	Coenagrion puella – eteläntytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.18	Coenagrion pulchellum – sirotytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.20	Erythromma najas – isotytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.22	Nehalennia speciosa – kääpiötytönkorento	EN – Erittäin uhanalaiset	Sudenkorennot, Odonata
MX.24	Pyrrhosoma nymphula – punatytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.26	Enallagma cyathigerum – okatytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.28	Ischnura elegans – hoikkatytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.29	Ischnura pumilio – keritytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.32	Platycnemis pennipes – sulkakoipikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.36	Brachytron pratense – karvaukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.38	Aeshna caerulea – pohjanukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.39	Aeshna crenata – isoukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.40	Aeshna cyanea – kirjoukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.41	Aeshna grandis – ruskoukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.42	Aeshna juncea – siniukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.43	Aeshna serrata – rannikkoukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.44	Aeshna subarctica – suoukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.46	Aeshna viridis – viherukonkorento	VU – Vaarantuneet	Sudenkorennot, Odonata
MX.67700	Aeshna mixta – etelänukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.73522	Aeshna affinis – hohtoukonkorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.63181	Anax imperator – keisarikorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.63182	Anax parthenope – sormusukonkorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.73524	Anax ephippiger – kulku-ukonkorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.52	Gomphus vulgatissimus – aitojokikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.4884002	Stylurus flavipes – idänjokikorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.54	Onychogomphus forcipatus – pihtijokikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.56	Ophiogomphus cecilia – kirjojokikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.59	Cordulegaster boltonii – purokorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.62	Cordulia aenea – vaskikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.64	Epitheca bimaculata – liitokorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.82	Somatochlora alpestris – aapakiiltokorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.83	Somatochlora arctica – hoikkakiiltokorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.84	Somatochlora flavomaculata – täpläkiiltokorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.85	Somatochlora metallica – välkekorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.86	Somatochlora sahlbergi – tundrakiiltokorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.89	Libellula depressa – litteähukankorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.90	Libellula fulva – sorjahukankorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.91	Libellula quadrimaculata – ruskohukankorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.97	Orthetrum cancellatum – merisinikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.98	Orthetrum coerulescens – hoikkasinikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.100	Sympetrum danae – tummasyyskorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.101	Sympetrum flaveolum – elokorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.102	Sympetrum sanguineum – verikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.103	Sympetrum striolatum – lännensyyskorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.104	Sympetrum vulgatum – punasyyskorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.63183	Sympetrum pedemontanum – vyösyyskorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.63200	Sympetrum fonscolombii – kulkusyyskorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.106	Leucorrhinia albifrons – sirolampikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.107	Leucorrhinia caudalis – lummelampikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.108	Leucorrhinia dubia – pikkulampikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.109	Leucorrhinia pectoralis – täplälampikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.110	Leucorrhinia rubicunda – isolampikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.206547	Ameletus inopinatus – kampasurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206543	Parameletus chelifer – isolapinsurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206544	Parameletus minor – pienilapinsurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206537	Siphlonurus aestivalis – järvisurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206538	Siphlonurus lacustris	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.4883672	Siphlonurus alternatus	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206530	Metretopus alter – pohjansurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206531	Metretopus borealis – outasurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206552	Baetis lapponicus – köngässurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206554	Baetis fuscatus – kirjovyösurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206555	Baetis scambus – outosurviainen	DD – Puutteellisesti tunnetut	Päivänkorennot, Ephemeroptera
MX.325148	Baetis bundyae – kanadansurviainen	DD – Puutteellisesti tunnetut	Päivänkorennot, Ephemeroptera
MX.206559	Baetis jaervii – järvisukeltajasurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206556	Baetis liebenauae – puolansukeltajasurviainen	NT – Silmälläpidettävät	Päivänkorennot, Ephemeroptera
MX.206557	Baetis macani – saanansurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206558	Baetis subalpinus	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206560	Baetis vernus	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206562	Baetis digitatus – sirppisurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206563	Baetis muticus – mutisurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206564	Baetis niger – tummasukeltajasurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206566	Baetis rhodani – piikikässurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206570	Baetopus tenellus – petosurviainen	CR – Äärimmäisen uhanalaiset	Päivänkorennot, Ephemeroptera
MX.206572	Centroptilum luteolum – hentosurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206575	Cloeon dipterum	NE – Arvioimatta jätetyt	Päivänkorennot, Ephemeroptera
MX.206576	Cloeon inscriptum	NE – Arvioimatta jätetyt	Päivänkorennot, Ephemeroptera
MX.206578	Cloeon praetextum	NE – Arvioimatta jätetyt	Päivänkorennot, Ephemeroptera
MX.206579	Cloeon simile	NE – Arvioimatta jätetyt	Päivänkorennot, Ephemeroptera
MX.206581	Procloeon bifidum	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206527	Arthroplea congener – siiviläsurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206515	Paracinygmula joernensis – pikkulaakasurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206519	Heptagenia dalecarlica – pohjanlaakasurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206520	Heptagenia flava – vantaansurviainen	VU – Vaarantuneet	Päivänkorennot, Ephemeroptera
MX.206521	Heptagenia sulphurea – keltalaakasurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206523	Kageronia fuscogrisea – järvilaakasurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206524	Kageronia orbiticola – siperiansurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206484	Habrophlebia fusca – tummanyhäsurviainen	CR – Äärimmäisen uhanalaiset	Päivänkorennot, Ephemeroptera
MX.206485	Habrophlebia lauta – vaaleanyhäsurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206476	Leptophlebia marginata – kevätsurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206477	Leptophlebia vespertina – lampisurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206479	Paraleptophlebia cincta	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206480	Paraleptophlebia strandii	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206481	Paraleptophlebia submarginata – isopurosurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206482	Paraleptophlebia werneri – pohjanpurosurviainen	NT – Silmälläpidettävät	Päivänkorennot, Ephemeroptera
MX.206492	Ephemera danica – tanskansurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206493	Ephemera lineata – kymisurviainen	VU – Vaarantuneet	Päivänkorennot, Ephemeroptera
MX.206494	Ephemera vulgata – isosurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206489	Potamanthus luteus – keltasurviainen	NT – Silmälläpidettävät	Päivänkorennot, Ephemeroptera
MX.206498	Ephemerella aurivillii – raitasukassurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206500	Ephemerella ignita – okasurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206499	Ephemerella mucronata – pyörökidussurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206509	Brachycercus harrisellus – jokisurviainen	VU – Vaarantuneet	Päivänkorennot, Ephemeroptera
MX.206503	Caenis horaria – pikkusurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206504	Caenis lactea – yöpikkusurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206505	Caenis luctuosa – lovipikkusurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206506	Caenis rivulorum – kääpiösurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206507	Caenis robusta – etelänpikkusurviainen	LC – Elinvoimaiset	Päivänkorennot, Ephemeroptera
MX.206454	Forficula auricularia – isopihtihäntä	LC – Elinvoimaiset	Pihtihäntäiset, Dermaptera
MX.206456	Apterygida media – pensaspihtihäntä	LC – Elinvoimaiset	Pihtihäntäiset, Dermaptera
MX.206459	Labia minor – pikkupihtihäntä	LC – Elinvoimaiset	Pihtihäntäiset, Dermaptera
MX.213038	Taeniopteryx nebulosa	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213041	Rhabdiopteryx acuminata – vantaankorri	EN – Erittäin uhanalaiset	Koskikorennot, Plecoptera
MX.4883999	Brachyptera risi – rantusiipikorri	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213044	Leuctra digitata	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213045	Leuctra fusca	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213046	Leuctra hippopus	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213047	Leuctra nigra	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213050	Capnia atra	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213051	Capnia pygmaea	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213052	Capnia vidua	DD – Puutteellisesti tunnetut	Koskikorennot, Plecoptera
MX.213054	Capnopsis schilleri	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213057	Amphinemura borealis	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213058	Amphinemura palmeni	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213061	Amphinemura standfussi	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213062	Amphinemura sulcicollis	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213064	Protonemura intricata	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213065	Protonemura meyeri	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213067	Nemoura arctica	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213068	Nemoura avicularis	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213069	Nemoura cinerea	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213070	Nemoura dubitans – etelänkoipikorri	EN – Erittäin uhanalaiset	Koskikorennot, Plecoptera
MX.213071	Nemoura flexuosa	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213072	Nemoura sahlbergi	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213073	Nemoura viki	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213075	Nemurella pictetii	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213079	Arcynopteryx compacta	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213081	Diura bicaudata	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213082	Diura nanseni	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213084	Isogenus nubecula	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213087	Isoperla difformis	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213088	Isoperla grammatica	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213089	Isoperla obscura	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213092	Dinocras cephalotes – jymykorri	NT – Silmälläpidettävät	Koskikorennot, Plecoptera
MX.213095	Isoptena serricornis	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213097	Siphonoperla burmeisteri	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.213099	Xanthoperla apicalis	LC – Elinvoimaiset	Koskikorennot, Plecoptera
MX.43172	Conocephalus dorsalis – kaislahepokatti	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43175	Tettigonia viridissima – lehtohepokatti	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43176	Tettigonia cantans – idänhepokatti	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43178	Decticus verrucivorus – niittyhepokatti	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43183	Metrioptera brachyptera – kanervatöpökatti	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43182	Metrioptera roeselii – heinätöpökatti	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43180	Platycleis albopunctata – paahdehepokatti	EN – Erittäin uhanalaiset	Suorasiipiset, Orthoptera
MX.43185	Pholidoptera griseoaptera – pensashepokatti	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.206725	Phaneroptera falcata – sirppihepokatti	NA – Arviointiin soveltumattomat	Suorasiipiset, Orthoptera
MX.43193	Acheta domesticus – kotisirkka	NA – Arviointiin soveltumattomat	Suorasiipiset, Orthoptera
MX.43189	Diestrammena asynamora – ansarisirkka	NA – Arviointiin soveltumattomat	Suorasiipiset, Orthoptera
MX.43198	Tetrix subulata – rantaokasirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43199	Tetrix fuliginosa – lapinokasirkka	DD – Puutteellisesti tunnetut	Suorasiipiset, Orthoptera
MX.43200	Tetrix undulata – lännenokasirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43201	Tetrix bipunctata – nummiokasirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43202	Tetrix tenuicornis – sarviokasirkka	EN – Erittäin uhanalaiset	Suorasiipiset, Orthoptera
MX.43207	Podisma pedestris – kangassirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43209	Melanoplus frigidus – lapinsirkka	NT – Silmälläpidettävät	Suorasiipiset, Orthoptera
MX.43212	Locusta migratoria – idänkulkusirkka	NA – Arviointiin soveltumattomat	Suorasiipiset, Orthoptera
MX.43214	Psophus stridulus – palosirkka	VU – Vaarantuneet	Suorasiipiset, Orthoptera
MX.43218	Sphingonotus caerulans – sinisiipisirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43216	Bryodemella tuberculata – ruususiipisirkka	CR – Äärimmäisen uhanalaiset	Suorasiipiset, Orthoptera
MX.43221	Stethophyma grossum – suosirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43224	Chrysochraon dispar – kultaheinäsirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43226	Omocestus viridulus – niittyheinäsirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43227	Omocestus rufipes – tummaheinäsirkka	NA – Arviointiin soveltumattomat	Suorasiipiset, Orthoptera
MX.43229	Chorthippus brunneus – ketoheinäsirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43230	Chorthippus biguttulus – ahoheinäsirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43231	Chorthippus albomarginatus – rantaheinäsirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43235	Myrmeleotettix maculatus – nuijaheinäsirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43237	Aeropedellus variegatus – keroheinäsirkka	NT – Silmälläpidettävät	Suorasiipiset, Orthoptera
MX.43232	Chorthippus parallelus – nurmiheinäsirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.43233	Chorthippus montanus – nevaheinäsirkka	LC – Elinvoimaiset	Suorasiipiset, Orthoptera
MX.52980	Periplaneta americana – amerikantorakka	NA – Arviointiin soveltumattomat	Torakat, Blattodea
MX.52981	Periplaneta australasiae – australiantorakka	NA – Arviointiin soveltumattomat	Torakat, Blattodea
MX.206461	Blatta orientalis – ruotsintorakka	NA – Arviointiin soveltumattomat	Torakat, Blattodea
MX.206464	Blattella germanica – russakka	NA – Arviointiin soveltumattomat	Torakat, Blattodea
MX.53022	Supella longipalpa – ranskantorakka	NA – Arviointiin soveltumattomat	Torakat, Blattodea
MX.206470	Ectobius lapponicus – lapintorakka	LC – Elinvoimaiset	Torakat, Blattodea
MX.206471	Ectobius sylvestris – metsätorakka	LC – Elinvoimaiset	Torakat, Blattodea
MX.232202	Megathrips lativentris	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232139	Bolothrips dentipes	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232140	Bolothrips icarus	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232142	Cryptothrips nigripes	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.4994298	Bacillothrips nobilis	NA – Arviointiin soveltumattomat	Ripsiäiset, Thysanoptera
MX.53024	Liothrips vaneeckei	NA – Arviointiin soveltumattomat	Ripsiäiset, Thysanoptera
MX.232190	Liothrips setinodis	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232145	Haplothrips acanthoscelis	NT – Silmälläpidettävät	Ripsiäiset, Thysanoptera
MX.232146	Haplothrips aculeatus	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232147	Haplothrips alpester	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232148	Haplothrips angusticornis	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232149	Haplothrips distinguendus	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232150	Haplothrips kurdjumovi	DD – Puutteellisesti tunnetut	Ripsiäiset, Thysanoptera
MX.232151	Haplothrips leucanthemi	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232152	Haplothrips niger	DD – Puutteellisesti tunnetut	Ripsiäiset, Thysanoptera
MX.232153	Haplothrips setigeriformis	DD – Puutteellisesti tunnetut	Ripsiäiset, Thysanoptera
MX.232154	Haplothrips subtilissimus	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232155	Haplothrips tritici	DD – Puutteellisesti tunnetut	Ripsiäiset, Thysanoptera
MX.232203	Haplothrips propinquus	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232157	Xylaplothrips fuliginosus	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232159	Eurytrichothrips affinis – mäntylahotorviainen	VU – Vaarantuneet	Ripsiäiset, Thysanoptera
MX.232161	Acanthothrips nodicornis	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232163	Phlaeothrips annulipes	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232164	Phlaeothrips bispinosus	NT – Silmälläpidettävät	Ripsiäiset, Thysanoptera
MX.232165	Phlaeothrips coriaceus	DD – Puutteellisesti tunnetut	Ripsiäiset, Thysanoptera
MX.232166	Phlaeothrips denticauda	DD – Puutteellisesti tunnetut	Ripsiäiset, Thysanoptera
MX.232169	Lispothrips ?wasastjernae	NE – Arvioimatta jätetyt	Ripsiäiset, Thysanoptera
MX.232194	Lispothrips crassipes	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232171	Cephalothrips monilicornis	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232204	Hindsiothrips oettingeni	NT – Silmälläpidettävät	Ripsiäiset, Thysanoptera
MX.232174	Brachythrips flavicornis	RE – Suomesta hävinneet	Ripsiäiset, Thysanoptera
MX.232176	Hoplothrips carpathicus	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232177	Hoplothrips corticis	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232178	Hoplothrips fungi	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232179	Hoplothrips grisescens	DD – Puutteellisesti tunnetut	Ripsiäiset, Thysanoptera
MX.232180	Hoplothrips pallicornis	DD – Puutteellisesti tunnetut	Ripsiäiset, Thysanoptera
MX.232181	Hoplothrips pedicularius	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232182	Hoplothrips polysticti	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232183	Hoplothrips ulmi	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232184	Hoplothrips unicolor	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232186	Maderothrips longisetis	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232188	Liophloeothrips glaber	NE – Arvioimatta jätetyt	Ripsiäiset, Thysanoptera
MX.232189	Liophloeothrips hungaricus	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232192	Treherniella inferna	DD – Puutteellisesti tunnetut	Ripsiäiset, Thysanoptera
MX.232167	Hoplandrothrips bidens	DD – Puutteellisesti tunnetut	Ripsiäiset, Thysanoptera
MX.52976	Parthenothrips dracaenae – traakkipuuripsiäinen	NA – Arviointiin soveltumattomat	Ripsiäiset, Thysanoptera
MX.53044	Heliothrips haemorrhoidalis – ansariripsiäinen	NA – Arviointiin soveltumattomat	Ripsiäiset, Thysanoptera
MX.53059	Hercinothrips femoralis – mustareisiripsiäinen	NA – Arviointiin soveltumattomat	Ripsiäiset, Thysanoptera
MX.232219	Dendrothrips degeeri	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232220	Dendrothrips saltatrix	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.321964	Dendrothrips ornatus	DD – Puutteellisesti tunnetut	Ripsiäiset, Thysanoptera
MX.232222	Leucothrips nigripennis	NA – Arviointiin soveltumattomat	Ripsiäiset, Thysanoptera
MX.232225	Sericothrips bicornis	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232227	Neohydatothrips abnormis	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232228	Neohydatothrips gracilicornis	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.52979	Echinothrips americanus – amerikanripsiäinen	NA – Arviointiin soveltumattomat	Ripsiäiset, Thysanoptera
MX.53025	Scirtothrips longipennis	NA – Arviointiin soveltumattomat	Ripsiäiset, Thysanoptera
MX.53049	Frankliniella occidentalis – kalifornianripsiäinen	NA – Arviointiin soveltumattomat	Ripsiäiset, Thysanoptera
MX.232243	Frankliniella intonsa	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232244	Frankliniella nigriventris	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232245	Frankliniella pallida	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.232246	Frankliniella tenuicornis	LC – Elinvoimaiset	Ripsiäiset, Thysanoptera
MX.53023	Chaetanaphothrips orchidii	NA – Arviointiin soveltumattomat	Ripsiäiset, Thysanoptera
MX.200749	Thrips palmi – palmuripsiäinen	NA – Arviointiin soveltumattomat	Ripsiäiset, Thysanoptera
MX.232055	Thrips dilatatus	DD – Puutteellisesti tunnetut	Ripsiäiset, Thysanoptera
